state,population
AK,731545
AL,4903000
AR,3018000
AS,NA
AZ,7279000
CA,39510000
CO,5759000
CT,3565000
DC,705749
DE,973764
FL,21480000
GA,10620000
GU,NA
HI,1416000
IA,3155000
ID,1787000
IL,12670000
IN,6850000
KS,2913000
KY,4468000
LA,4649000
MA,6893000
MD,6046000
ME,1344000
MI,9987000
MN,5640000
MO,6137000
MP,NA
MS,2976000
MT,1069000
NC,10490000
ND,762062
NE,1934000
NH,1360000
NJ,8882000
NM,2097000
NV,3080000
NY,19450000
OH,11690000
OK,3957000
OR,4218000
PA,12800000
PR,3194000
RI,1059000
SC,5149000
SD,884659
TN,6829000
TX,29000000
UT,3206000
VA,8536000
VI,NA
VT,623989
WA,7615000
WI,5822000
WV,1792000
WY,578759